# Source: UPS Tracking Web Service status codes
#   - 数据来源：rocketshipit PHP API docs（业内常用第三方 docs 站，整理自 UPS 官方
#     Track Web Service Developer Guide 状态码表）
#     URL: https://docs.rocketshipit.com/php/1-0/tracking-parameters.html
#     抓取日期: 2026-05-13
#   - 同步参考：infor/ups-api-documentation/Tracking.yaml（UPS-API GitHub repo）
# Reviewer: @zhatrix
# Coverage: ✅ W3 complete — 774 个 2 字符状态码（字母 AA-ZZ + 数字 0-9 系列）
# Note: UPS Tracking API 中 activity[].status.code 字段返回这些 2 字符代码，
#       消费方应优先使用 status.code 作为事件级 timeline 主轴。
#       activity[].status.type 4 个分类（X/I/U/D 即 Exception/In-progress/
#       Update/Delivery）作为元数据辅助分类，本映射未独立纳入。
#       activity[].status.statusCode（3 位数字详情码）和 currentStatus.statusCode
#       属于不同字段命名空间，需要 UPS API Codes 完整字典补全（待社区贡献）。
# Note: 本映射采用规则化关键词分类（automated rule-based classification）批量
#       生成，55% 落入 exception（UPS 的细分操作异常本身极多）。所有条目 notes
#       标注 "automated rule-based classification; awaiting community review"，
#       邀请社区 PR 细化具体码到更精确 ULSC 状态。
carrier_code,carrier_name,olts_code,notes
CT,THIS IS AN AIR CARGO SHIPMENT AND MAY FLOW DIFFERENTLY THAN AN EXPRESS SHIPMENT,exception,automated rule-based classification; awaiting community review
CV,THE PACKAGE/PALLET EXCEEDS THE MAX WEIGHT ACCEPTABLE IN THE UPS SYSTEM,exception,automated rule-based classification; awaiting community review
CW,UPS DOES NOT DELIVER TO ARMY/FLEET POST OFFICE ADDRESSES,exception,automated rule-based classification; awaiting community review
CX,EXPORT DOCUMENTS ARE MISSING AND ARE REQUIRED FOR CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
CY,THERE WAS NO RESPONSE TO THE POSTCARD SENT,recipient_unavailable,automated rule-based classification; awaiting community review
CZ,HAZARDOUS MATERIAL LABELING IS MISSING AND IS REQUIRED FOR CLEARANCE,customs_declared,automated rule-based classification; awaiting community review
C1,PACKAGES ARE ASSIGNED TO SUB-AGENT FOR DELIVERY,exception,automated rule-based classification; awaiting community review
C2,THE SHIPMENT IS NOT LISTED ON THE BROKERAGE PRE-ALERT DOCUMENTS,customs_declared,automated rule-based classification; awaiting community review
C3,THE SHIPMENT CONTENTS ARE SUBJECT TO EXPORT RESTRICTIONS,exception,automated rule-based classification; awaiting community review
C4,RECEIVER NOT AVAILABLE; CONTACT PERSON AT DESTINATION ADDRESS FOR DETAILS,exception,automated rule-based classification; awaiting community review
